anchor_drug_id,anchor_drug_name
1051,cathine
1052,caviar preparation
1053,cayenne pepper allergenic extract
1054,cedar elm pollen extract
1055,cedar leaf oil
1056,cedazuridine
1057,cedazuridine / decitabine
1058,cefaclor
1059,cefadroxil
1060,cefamandole
1061,cefatrizine
1062,cefazolin
1063,cefdinir
1064,cefditoren
1065,cefepime
1066,cefetamet
1067,cefiderocol
1068,cefixime
1069,cefmetazole
1070,cefodizime
1071,cefonicid
1072,cefoperazone
1073,ceforanide
1074,cefotaxime
1075,cefotetan
1076,cefotiam
1077,cefovecin
1078,cefoxitin
1079,cefpirome
1080,cefpodoxime
1081,cefprozil
1082,cefsulodin
1083,ceftaroline
1084,ceftaroline fosamil
1085,ceftazidime
1086,ceftibuten
1087,ceftiofur
1088,ceftizoxime
1089,ceftobiprole
1090,ceftolozane
1091,ceftolozane / tazobactam
1092,ceftriaxone
1093,cefuroxime
1094,celecoxib
1095,celiprolol
1096,cellulose
1097,cemiplimab
1098,cenegermin
1099,cenobamate
1100,centella asiatica extract
1101,centruroides (scorpion) immune f(ab')2 (equine)
1102,cephalexin
1103,cephaloridine
1104,cephalothin
1105,cephapirin
1106,cephradine
1107,ceramide 2
1108,ceramide 3
1109,ceramide 6 ii
1110,ceric oxide
1111,ceritinib
1112,cerium oxalate
1113,cerivastatin
1114,cerliponase
1115,certolizumab pegol
1116,certoparin
1117,cesium
1118,cetalkonium chloride
1119,ceteareth-30
1120,ceteth-10
1121,ceteth-20
1122,cetiedil
1123,cetirizine
1124,cetostearyl sulfate
1125,cetrimide
1126,cetrimonium
1127,cetrorelix
1128,cetuximab
1129,cetyl alcohol
1130,cetyl ethylhexanoate
1131,cetyl octanoate
1132,cetyl palmitate
1133,cetylpyridinium
1134,cevimeline
1135,chamaecyparis obtusa wood oil
1136,chamaemelum nobile flower extract
1137,chamomile extract
1138,chamomile flowers
1139,cheat grass pollen extract
1140,chenodeoxycholate
1141,cherry birch pollen extract
1142,chicken feather extract
1143,chicory leaf extract
1144,chinese cinnamon extract
1145,chinese elm pollen extract
1146,"chiro-inositol, (+)-"
1147,chitosan
1148,chitosan medium molecular weight (200-800 mpa.s)
1149,chlophedianol
1150,chloral betaine
1151,chlorambucil
1152,chloramine-t
1153,chloramphenicol
1154,chlorcyclizine
1155,chlordiazepoxide
1156,chlordiazepoxide / clidinium
1157,chlorhexidine
1158,chlorhexidine / isopropyl alcohol
1159,chlorhexidine / tolnaftate
1160,chloric acid
1161,chloride ion
1162,chlorine
1163,chlorine dioxide
1164,chlormadinone
1165,chlormezanone
1166,chlorobutanol
1167,chlorocresol
1168,chloroform
1169,chlorogenic acid
1170,chloromethyl methyl ether
1171,chlorophyllin
1172,chloroprocaine
1173,chloropyramine
1174,chloroquine
1175,chlorothen
1176,chlorotheophylline
1177,chlorothiazide
1178,chlorothymol
1179,chlorotrianisene
1180,chloroxine
1181,chloroxylenol
1182,chlorozotocin
1183,chlorphenesin
1184,chlorpheniramine
1185,chlorpheniramine / codeine
1186,chlorpheniramine / hydrocodone
1187,chlorpheniramine / methscopolamine / phenylephrine
1188,chlorphenoxamine
1189,chlorproethazine
1190,chlorpromazine
1191,chlorpropamide
1192,chlorprothixene
1193,chlorquinaldol
1194,chlorquinaldol / hydrocortisone
1195,chlortetracycline
1196,chlorthalidone
1197,chlorthalidone / clonidine
1198,chlortheophylline
1199,chlorzoxazone
1200,chocolate allergenic extract
1201,cholate
1202,cholecalciferol
1203,cholecystokinin
1204,cholesterol
1205,cholesteryl chloride
1206,cholestyramine resin
1207,cholic acid
1208,choline
1209,choline fenofibrate
1210,choline magnesium trisalicylate
1211,chondroitin sulfates
1212,chorionic gonadotropin
1213,chromic cation
1214,chromic chloride
1215,chromic phosphate p32
1216,chromic sulfate
1217,chromium
1218,chromium gluconate
1219,chromium picolinate
1220,chromium trioxide
1221,chromonar
1222,chrysin
1223,chymopapain
1224,chymotrypsin
1225,ciclesonide
1226,cicletanine
1227,ciclopirox
1228,cicloxilic acid
1229,cidofovir
1230,cifenline
1231,cifostodine
1232,cilastatin
1233,cilastatin / imipenem
1234,cilastatin / imipenem / relebactam
1235,cilazapril
1236,cilgavimab
1237,cilostazol
1238,ciltacabtagene autoleucel
1239,cimetidine
1240,cinacalcet
1241,cinametic acid
1242,cinitapride
1243,cinnamate
1244,cinnamedrine
1245,cinnamon oil
1246,cinnamyl alcohol
1247,cinnarizine
1248,cinoxacin
1249,cinoxate
1250,cipaglucosidase alfa
1251,ciprofibrate
1252,ciprofloxacin
1253,cisapride
