regimen_synonym_id,regimen_synonym,source_id,regimen_id
243,bcp,7,403
244,bcvp,7,207
245,bd,1,267
246,bdd,1,852
247,beacopp(escalated),1,1001
248,beacopp-14 (prednisolone),1,213
249,beacopp_baseline,1,212
250,"beam, then allo hsct",1,214
251,belotecan and platinol (cisplatin),1,219
252,benda-ld,1,253
253,benda-lenalidomide-dex,1,253
254,benda-rd,1,253
255,benda-revlimid-dex,1,253
256,benda-td,1,284
257,benda-thal-dex,1,284
258,benda-thaldex,1,284
259,benda-vd,1,197
260,benda-velcade-dex,1,197
261,bendamustine and rituximab,1,226
262,bendamustine and rituximab alternating with cytarabine and rituximab,1,278
263,bendamustine and rituximab alternating with rituximab and cytarabine,1,278
264,bendamustine lendex,1,253
265,bendamustine revdex,1,253
266,"bendamustine, bortezomib, dex",1,197
267,"bendamustine, bortezomib, dexamethasone",1,197
268,"bendamustine, etoposide, ara-c (cytarabine), melphalan",1,215
269,"bendamustine, fludarabine, rituximab",1,242
270,"bendamustine, gemcitabine, vinorelbine",1,216
271,"bendamustine, ixazomib, dexamethasone",1,248
272,"bendamustine, ld",1,253
273,"bendamustine, lenalidomide, dex",1,253
274,"bendamustine, lenalidomide, dexamethasone",1,253
275,"bendamustine, rd",1,253
276,"bendamustine, revlimid, dex",1,253
277,"bendamustine, revlimid, dexamethasone",1,253
278,"bendamustine, rituximab",1,226
279,"bendamustine, rituximab, ibrutinib",1,227
280,"bendamustine, rituximab, idelalisib",1,228
281,"bendamustine, rituximab, polatuzumab vedotin",1,229
282,"bendamustine, rituximab, temsirolimus",1,233
283,"bendamustine, thalidomide, dex",1,284
284,"bendamustine, thalidomide, dexamethasone",1,284
285,"bendamustine, thalomid, dexamethasone",1,284
286,"bendamustine, vd",1,197
287,"bendamustine, velcade (bortezomib), rituximab",1,303
288,"bendamustine, velcade, dex",1,197
289,"bendamustine, velcade, dexamethasone",1,197
290,bendatd,1,284
291,bendathaldex,1,284
292,bendofa,1,225
293,berlin frankfurt muenster high-dose mtx (methotrexate) regimen,1,1552
294,bev+d,1,935
295,bevacizumab and docetaxel,1,935
296,bevacizumab and radiation therapy,1,238
297,"bevacizumab, carboplatin, paclitaxel",1,403
298,"bevacizumab, carboplatin, pemetrexed",1,440
299,bevcpem,1,440
300,bfm hdmtx,1,1552
301,"bfr, then allo hsct",1,242
302,"biaxin (clarithromycin), revlimid (lenalidomide), low-dose dexamethasone",1,252
303,"biaxin, ld",1,252
304,"biaxin, lenalidomide, dex",1,252
305,"biaxin, lenalidomide, dexamethasone",1,252
306,"biaxin, rd",1,252
307,"biaxin, revlimid (lenalidomide), dexamethasone",1,252
308,"biaxin, revlimid, dex",1,252
309,"biaxin, revlimid, dexamethasone",1,252
310,bicalutamide and radiation therapy,1,246
311,"bicnu (carmustine), etoposide, ara-c (cytarabine), cyclophosphamide",1,211
312,"bicnu (carmustine), etoposide, ara-c (cytarabine), melphalan",1,214
313,bild,1,252
314,biochemotherapy,1,742
315,biochemotherapy,7,742
316,bioct,1,742
317,bipolar androgen therapy,1,195
318,bleo-mopp,7,1613
319,bleomycin and oncovin (vincristine),1,257
320,bleomycin and vincristine,1,257
321,"bleomycin, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine)",1,190
322,"bleomycin, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), prednisone",1,521
323,"bleomycin, ccnu (lomustine), adriamycin (doxorubicin), vinblastine",1,186
324,"bleomycin, cyclophosphamide, hydroxydaunorubicin (doxorubicin), oncovin (vincristine), prednisone",1,521
325,"bleomycin, etoposide, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), procarbazine, prednisolone, 14-day course",1,213
326,"bleomycin, etoposide, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), procarbazine, prednisone",1,212
327,"bleomycin, etoposide, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), procarbazine, prednisone, 14-day course",1,213
328,"bleomycin, etoposide, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), procarbazine, prednisone, escalated dose",1,1001
329,"bleomycin, etoposide, platinol (cisplatin)",1,232
330,"bleomycin, methotrexate, platinol (cisplatin)",1,260
331,"bleomycin, vinblastine, doxorubicin, streptozocin",1,301
332,"bleomycin, vinblastine, platinol (cisplatin)",1,302
333,bmdex,1,2124
334,bo,1,257
335,bolus 5-fu/5-fu and rt,1,178
336,bor-hdm,1,269
337,borid,1,210
338,bort,1,275
339,bort monotherapy,1,275
340,bort-dex,1,267
341,bort-hdm,1,269
342,bortezomib,1,275
343,bortezomib and dexamethasone,1,267
344,bortezomib and doxil,1,271
345,bortezomib and doxorubicin liposomal,1,271
346,bortezomib and liposomal doxorubicin,1,271
347,bortezomib and low-dose dexamethasone,1,267
348,"bortezomib and melphalan, then auto hsct",1,269
349,bortezomib and pred,1,272
350,bortezomib and prednisone,1,272
351,bortezomib and thalidomide,1,2140
352,bortezomib and zorinza,1,274
353,"bortezomib, adriamycin, dex",1,852
354,"bortezomib, adriamycin, dexamethasone",1,852
355,"bortezomib, cyclophosphamide, hydroxydaunorubicin (doxorubicin), oncovin (vincristine), prednisolone",1,204
356,"bortezomib, dexamethasone",1,267
357,"bortezomib, dexamethasone, panobinostat",1,268
358,"bortezomib, dexamethasone, rituximab",1,210
359,"bortezomib, doxil, dexamethasone",1,1617
360,"bortezomib, doxorubicin, dex",1,852
361,"bortezomib, doxorubicin, dexamethasone",1,852
362,"bortezomib, high dose melphalan",1,269
363,"bortezomib, lenalidomide, dex",1,1890
364,"bortezomib, lenalidomide, dexamethasone",1,1890
