synonym_id,anchor_drug_id,synonym_name
28402,1788,stimulexin
28403,4743,stiripentolum
28404,5236,stissera curcuma root oil
28405,5236,stissera longa root oil
28406,4372,stivarga
28407,3442,stizolobium pruritum seed
28408,4015,stockholm tar
28409,1368,stoneroot root
28410,370,stovaine
28411,2647,stoxil
28412,1122,stratene
28413,502,strattera
28414,4784,streptochinasi
28415,4829,streptocide
28416,4784,streptococcal fibrinolysin
28417,1916,streptococcus faecium whole
28418,4744,streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen
28419,4760,"streptococcus pneumoniae type 1 polysaccharide antigen, a"
28420,4761,"streptococcus pneumoniae type 10a polysaccharide antigen, a"
28421,4762,"streptococcus pneumoniae type 11a polysaccharide antigen, a"
28422,4763,"streptococcus pneumoniae type 12f polysaccharide antigen, a"
28423,4746,streptococcus pneumoniae type 14 capsular polysaccharide diphtheria crm197 protein conjugate antigen
28424,4764,"streptococcus pneumoniae type 14 polysaccharide antigen, a"
28425,4746,"streptococcus pneumoniae type 14 polysaccharide conjugate antigen, a"
28426,4765,"streptococcus pneumoniae type 15b polysaccharide antigen, a"
28427,4766,"streptococcus pneumoniae type 17f polysaccharide antigen, a"
28428,4747,streptococcus pneumoniae type 18c capsular polysaccharide diphtheria crm197 protein conjugate antigen
28429,4767,"streptococcus pneumoniae type 18c polysaccharide antigen, a"
28430,4747,"streptococcus pneumoniae type 18c polysaccharide conjugate antigen, a"
28431,4748,streptococcus pneumoniae type 19a capsular polysaccharide diphtheria crm197 protein conjugate antigen
28432,4768,"streptococcus pneumoniae type 19a polysaccharide antigen, a"
28433,4749,streptococcus pneumoniae type 19f capsular polysaccharide diphtheria crm197 protein conjugate antigen
28434,4769,"streptococcus pneumoniae type 19f polysaccharide antigen, a"
28435,4749,"streptococcus pneumoniae type 19f polysaccharide conjugate antigen, a"
28436,4770,"streptococcus pneumoniae type 2 polysaccharide antigen, a"
28437,4771,"streptococcus pneumoniae type 20 polysaccharide antigen, a"
28438,4750,streptococcus pneumoniae type 22f capsular polysaccharide diphtheria crm197 protein conjugate antigen
28439,4772,"streptococcus pneumoniae type 22f polysaccharide antigen, a"
28440,4751,streptococcus pneumoniae type 23f capsular polysaccharide diphtheria crm197 protein conjugate antigen
28441,4773,"streptococcus pneumoniae type 23f polysaccharide antigen, a"
28442,4751,"streptococcus pneumoniae type 23f polysaccharide conjugate antigen, a"
28443,4752,streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen
28444,4774,"streptococcus pneumoniae type 3 polysaccharide antigen, a"
28445,4753,streptococcus pneumoniae type 33f capsular polysaccharide diphtheria crm197 protein conjugate antigen
28446,4775,"streptococcus pneumoniae type 33f polysaccharide antigen, a"
28447,4754,streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen
