row_id,interventions_id,clinical_trial_id,name,other_name,source_id
200186,4562506,NCT00516646,ALT-711,Alagebrium,6
200187,4562509,NCT00506246,Propofol,Diprivan 1%,6
200188,4562509,NCT00506246,Propofol,Propofol Lipuro 1%,6
200189,4562514,NCT00678769,Cixutumumab,Anti-IGF-1R Recombinant Monoclonal Antibody IMC-A12,6
200190,4562514,NCT00678769,Cixutumumab,IMC-A12,6
200191,4562517,NCT00678769,Temsirolimus,CCI-779,6
200192,4562517,NCT00678769,Temsirolimus,CCI-779 Rapamycin Analog,6
200193,4562517,NCT00678769,Temsirolimus,Cell Cycle Inhibitor 779,6
200194,4562517,NCT00678769,Temsirolimus,Rapamycin Analog,6
200195,4562517,NCT00678769,Temsirolimus,Rapamycin Analog CCI-779,6
200196,4562517,NCT00678769,Temsirolimus,Torisel,6
200197,4562519,NCT00549146,fluticasone propionate DISKUS 500mcg,fluticasone propionate/salmeterol 250/50 DISKUS combination product,6
200198,4562533,NCT00559169,verapamil hyrochloride,"apo-verap, isoptin",6
200199,4562554,NCT03772314,Modafinil,Provigil,6
200200,4562555,NCT03772314,Amphetamine-Dextroamphetamine,Adderall,6
200201,4562563,NCT00937495,vorinostat,L-001079038,6
200202,4562563,NCT00937495,vorinostat,SAHA,6
200203,4562563,NCT00937495,vorinostat,Zolinza,6
200204,4562563,NCT00937495,vorinostat,suberoylanilide hydroxamic acid,6
