anchor_drug_id,canonical_rxcui,canonical_drug_name,canonical_tty
589,2047232,baricitinib,IN
590,1311067,barium,IN
591,1331,barium sulfate,IN
592,1006510,barley malt allergenic extract,IN
593,1306883,barley malt syrup,IN
594,196102,basiliximab,IN
595,1306190,batilol,IN
596,2743398,baxdrostat,IN
597,1010879,bay leaf allergenic extract,IN
598,1441386,bazedoxifene,IN
599,1441391,"bazedoxifene / estrogens, conjugated (usp)",MIN
600,76469,"bcg, live, connaught strain",IN
601,221050,"bcg, live, tice strain",IN
602,2592360,bebtelovimab,IN
603,115238,becaplermin,IN
604,18846,beclamide,IN
605,1347,beclomethasone,IN
606,2747290,beclomethasone / formoterol / glycopyrronium,MIN
607,1364504,bedaquiline,IN
608,253157,bee pollen,IN
609,852419,beech pollen extract,IN
610,972689,beef liver allergenic extract,IN
611,1356,beeswax,IN
612,1368204,behenate,IN
613,1307569,beheneth-10,IN
614,2387844,belantamab,IN
615,2387834,belantamab mafodotin,IN
616,1112973,belatacept,IN
617,1092437,belimumab,IN
618,1543543,belinostat,IN
619,1306193,bellis perennis flower extract,IN
620,2564025,belumosudil,IN
621,2567226,belzutifan,IN
622,280611,bemiparin,IN
623,1306115,bemotrizinol,IN
624,2282403,bempedoic acid,IN
625,2283229,bempedoic acid / ezetimibe,MIN
626,1361,benactyzine,IN
627,18867,benazepril,IN
628,214287,benazepril / hydrochlorothiazide,MIN
629,1367,bencyclane,IN
630,134547,bendamustine,IN
631,1369,bendroflumethiazide,IN
632,18880,benfluorex,IN
633,1372,benorilate,IN
634,18889,benoxinate,IN
635,690060,benoxinate / fluorescein,MIN
636,1373,benperidol,IN
637,18891,benphothiamine,IN
638,236749,benproperine,IN
639,1989100,benralizumab,IN
640,1374,benserazide,IN
641,18896,bentiromide,IN
642,1375,bentonite,IN
643,134568,bentoquatam,IN
644,1378,benzalkonium,IN
645,690077,benzalkonium / lidocaine,MIN
646,18923,benzarone,IN
