normalized_surface_form,match_count,matched_rxcuis,matched_ttys,matched_names,concept_classes,mapping_status,mapping_rule,canonical_rxcui,canonical_name,canonical_tty
(+)-2-(2-((p-chloro-alpha-methyl-alpha-phenylbenzyl)oxy)ethyl)-1-methyl pyrrolidine fumarate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(4-biphenyl)propionic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(6-methoxy-2-naphthyl)propionic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-2-(dipropylamino)-2,3-dihydro-1h-phenalen-5-ol monohydrobromide",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(methoxy-2-naphthyl)-propionic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(methoxy-2-naphthyl)-propionsäure,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(p-bromo-alpha-(2-(dimethylamino)ethyl)benzyl)pyridine maleate (1:1),0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-(p-chloro-alpha-(2-(dimethylamino)ethyl)benzyl)pyridine maleate(1:1),0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-2-ethoxy-alpha-(((s)-alpha-isobutyl-o-piperidinobenzyl)carbamoyl)-p-toluic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-3,3-dibromocamphor",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-3-(2-((1s,5r,6s)-6-(p-fluorophenyl)-3-azabicyclo(3.2.0)hept-3-yl)ethyl)-2,4(1h,3h)-quinazolinedione",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-4-(((s)-p-chloro-alpha-2-pyridylbenzyl)oxy)-1-piperidinebutyric acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-4-((1r,2r,3as,8bs)-2-hydroxy-1-((1e,3s,4s)-3-hydroxy-4-methyl-oct-1-en-6-yn-1-yl)-2,3,3a,8b-tetrahydro-1h-cyclopenta(b)(1)benzofuran-5-yl)butanoic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-4-((s)-alpha,2,3-trimethylbenzyl)imidazole",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
