legacy_anchor_drug_id,canonical_rxcui,anchor_drug_id,canonical_drug_name,canonical_tty,default_rule
4081,1535944,1325,coagulation factor ix recombinant immunoglobulin g1 fusion protein,IN,direct_anchor_exact_rxnorm
4082,598,267,alprostadil,IN,direct_anchor_exact_rxnorm
4102,8410,269,alteplase,IN,direct_anchor_exact_rxnorm
4105,17599,270,althiazide,IN,direct_anchor_exact_rxnorm
4110,1314612,271,altrenogest,IN,direct_anchor_exact_rxnorm
4111,5296,272,altretamine,IN,direct_anchor_exact_rxnorm
4118,1311504,274,aluminum,IN,unique_convergent_term_evidence
4122,23162,1686,dihydroxyaluminum aminoacetate,IN,unique_convergent_term_evidence
4125,17618,284,aluminum phosphate,IN,unique_convergent_term_evidence
4126,46243,288,aluminum stearate,IN,unique_convergent_term_evidence
4127,17609,275,aluminum acetate,IN,direct_anchor_exact_rxnorm
4128,1546162,276,aluminum cation,IN,direct_anchor_exact_rxnorm
4129,46241,277,aluminum chloride,IN,direct_anchor_exact_rxnorm
4130,17610,278,aluminum chlorohydrate,IN,direct_anchor_exact_rxnorm
4131,1313224,279,aluminum chlorohydrex propylene glycol,IN,direct_anchor_exact_rxnorm
4132,618272,2226,flufenamate,IN,direct_anchor_exact_rxnorm
4133,612,280,aluminum hydroxide,IN,direct_anchor_exact_rxnorm
4136,615,283,aluminum oxide,IN,direct_anchor_exact_rxnorm
4137,543375,286,aluminum sesquichlorohydrate,IN,direct_anchor_exact_rxnorm
4138,235461,289,aluminum subacetate,IN,direct_anchor_exact_rxnorm
4139,17621,290,aluminum sulfate,IN,direct_anchor_exact_rxnorm
4140,1306096,292,aluminum zirconium octachlorohydrex gly,IN,direct_anchor_exact_rxnorm
4141,1306097,293,aluminum zirconium pentachlorohydrate,IN,direct_anchor_exact_rxnorm
4142,1305899,294,aluminum zirconium pentachlorohydrex gly,IN,direct_anchor_exact_rxnorm
4143,1305896,295,aluminum zirconium tetrachlorohydrex gly,IN,direct_anchor_exact_rxnorm
4144,1370425,296,aluminum zirconium trichlorohydrex gly,IN,direct_anchor_exact_rxnorm
4146,1921217,799,brigatinib,IN,direct_anchor_exact_rxnorm
4156,17627,297,alverine,IN,direct_anchor_exact_rxnorm
4157,17627,297,alverine,IN,direct_anchor_exact_rxnorm
4161,480639,298,alvimopan,IN,direct_anchor_exact_rxnorm
4165,253337,707,bevacizumab,IN,direct_anchor_exact_rxnorm
4171,620,299,amantadine,IN,direct_anchor_exact_rxnorm
4174,1363561,300,amaranthus hybridus pollen extract,IN,unique_convergent_term_evidence
4175,851926,1023,careless weed pollen extract,IN,unique_convergent_term_evidence
4178,895919,4720,spiny pigweed pollen extract,IN,unique_convergent_term_evidence
4179,851934,5384,western waterhemp pollen extract,IN,unique_convergent_term_evidence
4186,623,301,ambenonium,IN,direct_anchor_exact_rxnorm
4187,623,301,ambenonium,IN,direct_anchor_exact_rxnorm
4190,1311393,302,amber,IN,direct_anchor_exact_rxnorm
