legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
317,3477,1,drug_anchor_not_uniquely_validated
318,3438,1,drug_anchor_not_uniquely_validated
319,3438,7,drug_anchor_not_uniquely_validated
319,10266,7,drug_anchor_not_uniquely_validated
320,3438,1,drug_anchor_not_uniquely_validated
320,10266,1,drug_anchor_not_uniquely_validated
321,9253,1,drug_anchor_not_uniquely_validated
321,10266,1,drug_anchor_not_uniquely_validated
322,3438,1,drug_anchor_not_uniquely_validated
322,3477,1,drug_anchor_not_uniquely_validated
322,3729,1,drug_anchor_not_uniquely_validated
323,3729,1,drug_anchor_not_uniquely_validated
324,3438,1,drug_anchor_not_uniquely_validated
324,3477,1,drug_anchor_not_uniquely_validated
324,3729,1,drug_anchor_not_uniquely_validated
325,3438,1,drug_anchor_not_uniquely_validated
326,3438,1,drug_anchor_not_uniquely_validated
326,10266,1,drug_anchor_not_uniquely_validated
327,3438,1,drug_anchor_not_uniquely_validated
328,8503,1,drug_anchor_not_uniquely_validated
329,3438,1,drug_anchor_not_uniquely_validated
329,10266,1,drug_anchor_not_uniquely_validated
330,3438,1,drug_anchor_not_uniquely_validated
330,10266,1,drug_anchor_not_uniquely_validated
338,3438,1,drug_anchor_not_uniquely_validated
338,10266,1,drug_anchor_not_uniquely_validated
349,27229,1,drug_anchor_not_uniquely_validated
354,18766,1,drug_anchor_not_uniquely_validated
384,13255,1,drug_anchor_not_uniquely_validated
384,13255,7,drug_anchor_not_uniquely_validated
389,29057,1,drug_anchor_not_uniquely_validated
401,29057,1,drug_anchor_not_uniquely_validated
403,10266,7,drug_anchor_not_uniquely_validated
404,8503,1,drug_anchor_not_uniquely_validated
416,9136,1,drug_anchor_not_uniquely_validated
422,30772,1,drug_anchor_not_uniquely_validated
425,10266,1,drug_anchor_not_uniquely_validated
437,3438,1,drug_anchor_not_uniquely_validated
441,8503,1,drug_anchor_not_uniquely_validated
446,29256,1,drug_anchor_not_uniquely_validated
447,9136,1,drug_anchor_not_uniquely_validated
450,3477,1,drug_anchor_not_uniquely_validated
451,3477,1,drug_anchor_not_uniquely_validated
455,3438,1,drug_anchor_not_uniquely_validated
458,8849,1,drug_anchor_not_uniquely_validated
459,3438,1,drug_anchor_not_uniquely_validated
460,3438,1,drug_anchor_not_uniquely_validated
461,3438,1,drug_anchor_not_uniquely_validated
462,3438,1,drug_anchor_not_uniquely_validated
465,3438,7,drug_anchor_not_uniquely_validated
467,10266,7,drug_anchor_not_uniquely_validated
468,3438,1,drug_anchor_not_uniquely_validated
468,10266,1,drug_anchor_not_uniquely_validated
472,3438,1,drug_anchor_not_uniquely_validated
473,10266,1,drug_anchor_not_uniquely_validated
473,13255,1,drug_anchor_not_uniquely_validated
478,3729,7,drug_anchor_not_uniquely_validated
480,10266,1,drug_anchor_not_uniquely_validated
482,10266,7,drug_anchor_not_uniquely_validated
483,10266,1,drug_anchor_not_uniquely_validated
491,10266,1,drug_anchor_not_uniquely_validated
492,10266,1,drug_anchor_not_uniquely_validated
493,10266,7,drug_anchor_not_uniquely_validated
495,3438,1,drug_anchor_not_uniquely_validated
495,3438,7,drug_anchor_not_uniquely_validated
496,3438,7,drug_anchor_not_uniquely_validated
501,9373,1,drug_anchor_not_uniquely_validated
502,10266,7,drug_anchor_not_uniquely_validated
506,10266,1,drug_anchor_not_uniquely_validated
507,10266,1,drug_anchor_not_uniquely_validated
511,10266,1,drug_anchor_not_uniquely_validated
511,10266,7,drug_anchor_not_uniquely_validated
511,13255,1,drug_anchor_not_uniquely_validated
511,13255,7,drug_anchor_not_uniquely_validated
512,3438,1,drug_anchor_not_uniquely_validated
512,10266,1,drug_anchor_not_uniquely_validated
512,13255,1,drug_anchor_not_uniquely_validated
513,3438,1,drug_anchor_not_uniquely_validated
513,10266,1,drug_anchor_not_uniquely_validated
513,13255,1,drug_anchor_not_uniquely_validated
514,3438,7,drug_anchor_not_uniquely_validated
515,3438,1,drug_anchor_not_uniquely_validated
515,3438,7,drug_anchor_not_uniquely_validated
515,10266,1,drug_anchor_not_uniquely_validated
515,10266,7,drug_anchor_not_uniquely_validated
516,3438,1,drug_anchor_not_uniquely_validated
516,10266,1,drug_anchor_not_uniquely_validated
517,3438,1,drug_anchor_not_uniquely_validated
517,10266,1,drug_anchor_not_uniquely_validated
518,3438,1,drug_anchor_not_uniquely_validated
518,10266,1,drug_anchor_not_uniquely_validated
519,3438,1,drug_anchor_not_uniquely_validated
519,10266,1,drug_anchor_not_uniquely_validated
519,31786,1,drug_anchor_not_uniquely_validated
520,3438,1,drug_anchor_not_uniquely_validated
520,10266,1,drug_anchor_not_uniquely_validated
521,3438,1,drug_anchor_not_uniquely_validated
521,10266,1,drug_anchor_not_uniquely_validated
522,3438,1,drug_anchor_not_uniquely_validated
522,10266,1,drug_anchor_not_uniquely_validated
523,3438,7,drug_anchor_not_uniquely_validated
525,3438,1,drug_anchor_not_uniquely_validated
525,10266,1,drug_anchor_not_uniquely_validated
526,3438,1,drug_anchor_not_uniquely_validated
526,10266,1,drug_anchor_not_uniquely_validated
527,3438,1,drug_anchor_not_uniquely_validated
527,10266,1,drug_anchor_not_uniquely_validated
