legacy_anchor_drug_id,canonical_rxcui,canonical_name,canonical_tty,default_rule
10952,22051,cyprodenate,IN,direct_anchor_exact_rxnorm
10953,3013,cyproheptadine,IN,direct_anchor_exact_rxnorm
10954,3013,cyproheptadine,IN,direct_anchor_exact_rxnorm
10959,1535922,ramucirumab,IN,direct_anchor_exact_rxnorm
10962,1426401,cystamine,IN,direct_anchor_exact_rxnorm
10964,3022,cysteamine,IN,direct_anchor_exact_rxnorm
10965,3022,cysteamine,IN,direct_anchor_exact_rxnorm
10966,3022,cysteamine,IN,direct_anchor_exact_rxnorm
10968,3024,cysteine,IN,direct_anchor_exact_rxnorm
10969,3024,cysteine,IN,direct_anchor_exact_rxnorm
10974,3036,cystine,IN,direct_anchor_exact_rxnorm
10978,2017575,cytarabine / daunorubicin,MIN,unique_convergent_term_evidence
10994,1723152,cytisine,IN,direct_anchor_exact_rxnorm
11004,22178,cytomegalovirus immune globulin,IN,direct_anchor_exact_rxnorm
11021,689841,citric acid / potassium citrate / sodium citrate,MIN,direct_anchor_exact_rxnorm
11035,11256,vitamin e,IN,unique_convergent_term_evidence
11040,2530132,"borneol, (+)-",IN,unique_convergent_term_evidence
11041,2267019,"chiro-inositol, (+)-",IN,unique_convergent_term_evidence
11054,4850,glucose,IN,unique_convergent_term_evidence
11055,1428878,d-glutamic acid,IN,direct_anchor_exact_rxnorm
11085,9671,serine,IN,unique_convergent_term_evidence
11101,1546356,dabigatran,IN,direct_anchor_exact_rxnorm
11104,1424911,dabrafenib,IN,direct_anchor_exact_rxnorm
11109,3098,dacarbazine,IN,direct_anchor_exact_rxnorm
11117,190353,daclizumab,IN,direct_anchor_exact_rxnorm
11120,15657,decitabine,IN,direct_anchor_exact_rxnorm
11121,2058849,dacomitinib,IN,direct_anchor_exact_rxnorm
11124,32592,oxaliplatin,IN,unique_convergent_term_evidence
11128,851878,orchard grass pollen extract,IN,unique_convergent_term_evidence
11145,1539239,dalbavancin,IN,direct_anchor_exact_rxnorm
11152,897018,dalfampridine,IN,direct_anchor_exact_rxnorm
11153,229369,dalfopristin,IN,direct_anchor_exact_rxnorm
